Points_0,Points_1,Points_2,Points_Magnitude,arc_length,phi,Point ID,vtkValidPointMask
0,0.5,0,0.5,0,0.0437823,0,1
0.001,0.5,0,0.500001,0.001,0.0437989,1,1
0.002,0.5,0,0.500004,0.002,0.0438154,2,1
0.003,0.5,0,0.500009,0.003,0.0438319,3,1
0.004,0.5,0,0.500016,0.004,0.0438484,4,1
0.005,0.5,0,0.500025,0.005,0.043865,5,1
0.006,0.5,0,0.500036,0.006,0.0438815,6,1
0.007,0.5,0,0.500049,0.007,0.043898,7,1
0.008,0.5,0,0.500064,0.008,0.0439145,8,1
0.009,0.5,0,0.500081,0.009,0.0439311,9,1
0.01,0.5,0,0.5001,0.01,0.0439476,10,1
0.011,0.5,0,0.500121,0.011,0.0439641,11,1
0.012,0.5,0,0.500144,0.012,0.0439806,12,1
0.013,0.5,0,0.500169,0.013,0.0439972,13,1
0.014,0.5,0,0.500196,0.014,0.0440137,14,1
0.015,0.5,0,0.500225,0.015,0.0440302,15,1
0.016,0.5,0,0.500256,0.016,0.0440467,16,1
0.017,0.5,0,0.500289,0.017,0.0440633,17,1
0.018,0.5,0,0.500324,0.018,0.0440798,18,1
0.019,0.5,0,0.500361,0.019,0.0440963,19,1
0.02,0.5,0,0.5004,0.02,0.0441128,20,1
0.021,0.5,0,0.500441,0.021,0.0441294,21,1
0.022,0.5,0,0.500484,0.022,0.0441459,22,1
0.023,0.5,0,0.500529,0.023,0.0441624,23,1
0.024,0.5,0,0.500576,0.024,0.0441789,24,1
0.025,0.5,0,0.500625,0.025,0.0441955,25,1
0.026,0.5,0,0.500676,0.026,0.044212,26,1
0.027,0.5,0,0.500728,0.027,0.0442285,27,1
0.028,0.5,0,0.500783,0.028,0.044245,28,1
0.029,0.5,0,0.50084,0.029,0.0442616,29,1
0.03,0.5,0,0.500899,0.03,0.0442781,30,1
0.031,0.5,0,0.50096,0.031,0.0442946,31,1
0.032,0.5,0,0.501023,0.032,0.0443111,32,1
0.033,0.5,0,0.501088,0.033,0.0443277,33,1
0.034,0.5,0,0.501155,0.034,0.0443442,34,1
0.035,0.5,0,0.501224,0.035,0.0443607,35,1
0.036,0.5,0,0.501294,0.036,0.0443772,36,1
0.037,0.5,0,0.501367,0.037,0.0443938,37,1
0.038,0.5,0,0.501442,0.038,0.0444103,38,1
0.039,0.5,0,0.501519,0.039,0.0444268,39,1
0.04,0.5,0,0.501597,0.04,0.0444433,40,1
0.041,0.5,0,0.501678,0.041,0.0444599,41,1
0.042,0.5,0,0.501761,0.042,0.0444764,42,1
0.043,0.5,0,0.501846,0.043,0.0444929,43,1
0.044,0.5,0,0.501932,0.044,0.0445094,44,1
0.045,0.5,0,0.502021,0.045,0.044526,45,1
0.046,0.5,0,0.502112,0.046,0.0445425,46,1
0.047,0.5,0,0.502204,0.047,0.044559,47,1
0.048,0.5,0,0.502299,0.048,0.0445755,48,1
0.049,0.5,0,0.502395,0.049,0.0445921,49,1
0.05,0.5,0,0.502494,0.05,0.0446086,50,1
0.051,0.5,0,0.502594,0.051,0.0446251,51,1
0.052,0.5,0,0.502697,0.052,0.0446416,52,1
0.053,0.5,0,0.502801,0.053,0.0446582,53,1
0.054,0.5,0,0.502908,0.054,0.0446747,54,1
0.055,0.5,0,0.503016,0.055,0.0446912,55,1
0.056,0.5,0,0.503126,0.056,0.0447077,56,1
0.057,0.5,0,0.503238,0.057,0.0447243,57,1
0.058,0.5,0,0.503353,0.058,0.0447408,58,1
0.059,0.5,0,0.503469,0.059,0.0447573,59,1
0.06,0.5,0,0.503587,0.06,0.0447738,60,1
0.061,0.5,0,0.503707,0.061,0.0447904,61,1
0.062,0.5,0,0.503829,0.062,0.0448069,62,1
0.063,0.5,0,0.503953,0.063,0.0448286,63,1
0.064,0.5,0,0.504079,0.064,0.0448554,64,1
0.065,0.5,0,0.504207,0.065,0.0448823,65,1
0.066,0.5,0,0.504337,0.066,0.0449092,66,1
