Points_0,Points_1,Points_2,Points_Magnitude,arc_length,phi,Point ID,vtkValidPointMask
0.5,0,0,0.5,0,0.0466364,0,1
0.5,0.001,0,0.500001,0.001,0.0466688,1,1
0.5,0.002,0,0.500004,0.002,0.0467013,2,1
0.5,0.003,0,0.500009,0.003,0.0467337,3,1
0.5,0.004,0,0.500016,0.004,0.0467662,4,1
0.5,0.005,0,0.500025,0.005,0.0467986,5,1
0.5,0.006,0,0.500036,0.006,0.046831,6,1
0.5,0.007,0,0.500049,0.007,0.0468635,7,1
0.5,0.008,0,0.500064,0.008,0.0468959,8,1
0.5,0.009,0,0.500081,0.009,0.0469283,9,1
0.5,0.01,0,0.5001,0.01,0.0469608,10,1
0.5,0.011,0,0.500121,0.011,0.0469932,11,1
0.5,0.012,0,0.500144,0.012,0.0470256,12,1
0.5,0.013,0,0.500169,0.013,0.0470581,13,1
0.5,0.014,0,0.500196,0.014,0.0470905,14,1
0.5,0.015,0,0.500225,0.015,0.0471229,15,1
0.5,0.016,0,0.500256,0.016,0.0471567,16,1
0.5,0.017,0,0.500289,0.017,0.0471925,17,1
0.5,0.018,0,0.500324,0.018,0.0472284,18,1
0.5,0.019,0,0.500361,0.019,0.0472642,19,1
0.5,0.02,0,0.5004,0.02,0.0473001,20,1
0.5,0.021,0,0.500441,0.021,0.047336,21,1
0.5,0.022,0,0.500484,0.022,0.0473718,22,1
0.5,0.023,0,0.500529,0.023,0.0474077,23,1
0.5,0.024,0,0.500576,0.024,0.0474435,24,1
0.5,0.025,0,0.500625,0.025,0.0474794,25,1
0.5,0.026,0,0.500676,0.026,0.0475153,26,1
0.5,0.027,0,0.500728,0.027,0.0475511,27,1
0.5,0.028,0,0.500783,0.028,0.047587,28,1
0.5,0.029,0,0.50084,0.029,0.0476228,29,1
0.5,0.03,0,0.500899,0.03,0.0476587,30,1
0.5,0.031,0,0.50096,0.031,0.0476946,31,1
0.5,0.032,0,0.501023,0.032,0.047733,32,1
0.5,0.033,0,0.501088,0.033,0.0477723,33,1
0.5,0.034,0,0.501155,0.034,0.0478116,34,1
0.5,0.035,0,0.501224,0.035,0.047851,35,1
0.5,0.036,0,0.501294,0.036,0.0478903,36,1
0.5,0.037,0,0.501367,0.037,0.0479296,37,1
0.5,0.038,0,0.501442,0.038,0.0479689,38,1
0.5,0.039,0,0.501519,0.039,0.0480082,39,1
0.5,0.04,0,0.501597,0.04,0.0480475,40,1
0.5,0.041,0,0.501678,0.041,0.0480868,41,1
0.5,0.042,0,0.501761,0.042,0.0481261,42,1
0.5,0.043,0,0.501846,0.043,0.0481654,43,1
0.5,0.044,0,0.501932,0.044,0.0482048,44,1
0.5,0.045,0,0.502021,0.045,0.0482441,45,1
0.5,0.046,0,0.502112,0.046,0.0482834,46,1
0.5,0.047,0,0.502204,0.047,0.0483231,47,1
0.5,0.048,0,0.502299,0.048,0.0483659,48,1
0.5,0.049,0,0.502395,0.049,0.0484087,49,1
0.5,0.05,0,0.502494,0.05,0.0484515,50,1
0.5,0.051,0,0.502594,0.051,0.0484943,51,1
