Points_0,Points_1,Points_2,Points_Magnitude,arc_length,phi,Point ID,vtkValidPointMask
0.5,0,0,0.5,0,0.0334643,0,1
0.5,0.001,0,0.500001,0.001,0.0335416,1,1
0.5,0.002,0,0.500004,0.002,0.033619,2,1
0.5,0.003,0,0.500009,0.003,0.0336964,3,1
0.5,0.004,0,0.500016,0.004,0.0337738,4,1
0.5,0.005,0,0.500025,0.005,0.0338511,5,1
0.5,0.006,0,0.500036,0.006,0.0339285,6,1
0.5,0.007,0,0.500049,0.007,0.0340059,7,1
0.5,0.008,0,0.500064,0.008,0.0340833,8,1
0.5,0.009,0,0.500081,0.009,0.0341606,9,1
0.5,0.01,0,0.5001,0.01,0.034238,10,1
0.5,0.011,0,0.500121,0.011,0.0343154,11,1
0.5,0.012,0,0.500144,0.012,0.0343928,12,1
0.5,0.013,0,0.500169,0.013,0.0344701,13,1
0.5,0.014,0,0.500196,0.014,0.0345475,14,1
0.5,0.015,0,0.500225,0.015,0.0346249,15,1
0.5,0.016,0,0.500256,0.016,0.0347025,16,1
0.5,0.017,0,0.500289,0.017,0.0347805,17,1
0.5,0.018,0,0.500324,0.018,0.0348585,18,1
0.5,0.019,0,0.500361,0.019,0.0349365,19,1
0.5,0.02,0,0.5004,0.02,0.0350144,20,1
0.5,0.021,0,0.500441,0.021,0.0350924,21,1
0.5,0.022,0,0.500484,0.022,0.0351704,22,1
0.5,0.023,0,0.500529,0.023,0.0352484,23,1
0.5,0.024,0,0.500576,0.024,0.0353264,24,1
0.5,0.025,0,0.500625,0.025,0.0354044,25,1
0.5,0.026,0,0.500676,0.026,0.0354823,26,1
0.5,0.027,0,0.500728,0.027,0.0355603,27,1
0.5,0.028,0,0.500783,0.028,0.0356383,28,1
0.5,0.029,0,0.50084,0.029,0.0357163,29,1
0.5,0.03,0,0.500899,0.03,0.0357943,30,1
0.5,0.031,0,0.50096,0.031,0.0358723,31,1
0.5,0.032,0,0.501023,0.032,0.0359507,32,1
0.5,0.033,0,0.501088,0.033,0.0360293,33,1
0.5,0.034,0,0.501155,0.034,0.0361079,34,1
0.5,0.035,0,0.501224,0.035,0.0361865,35,1
0.5,0.036,0,0.501294,0.036,0.0362651,36,1
0.5,0.037,0,0.501367,0.037,0.0363437,37,1
