Points_0,Points_1,Points_2,Points_Magnitude,arc_length,phi,Point ID,vtkValidPointMask
0,0.5,0,0.5,0,0.0437823,0,1
0.001,0.5,0,0.500001,0.001,0.0437848,1,1
0.002,0.5,0,0.500004,0.002,0.0437873,2,1
0.003,0.5,0,0.500009,0.003,0.0437897,3,1
0.004,0.5,0,0.500016,0.004,0.0437922,4,1
0.005,0.5,0,0.500025,0.005,0.0437946,5,1
0.006,0.5,0,0.500036,0.006,0.0437971,6,1
0.007,0.5,0,0.500049,0.007,0.0437995,7,1
0.008,0.5,0,0.500064,0.008,0.043802,8,1
0.009,0.5,0,0.500081,0.009,0.0438045,9,1
0.01,0.5,0,0.5001,0.01,0.0438069,10,1
0.011,0.5,0,0.500121,0.011,0.0438094,11,1
0.012,0.5,0,0.500144,0.012,0.0438118,12,1
0.013,0.5,0,0.500169,0.013,0.0438143,13,1
0.014,0.5,0,0.500196,0.014,0.0438167,14,1
0.015,0.5,0,0.500225,0.015,0.0438192,15,1
0.016,0.5,0,0.500256,0.016,0.0438218,16,1
0.017,0.5,0,0.500289,0.017,0.0438247,17,1
0.018,0.5,0,0.500324,0.018,0.0438276,18,1
0.019,0.5,0,0.500361,0.019,0.0438304,19,1
0.02,0.5,0,0.5004,0.02,0.0438333,20,1
0.021,0.5,0,0.500441,0.021,0.0438362,21,1
0.022,0.5,0,0.500484,0.022,0.0438391,22,1
0.023,0.5,0,0.500529,0.023,0.0438419,23,1
0.024,0.5,0,0.500576,0.024,0.0438448,24,1
0.025,0.5,0,0.500625,0.025,0.0438477,25,1
0.026,0.5,0,0.500676,0.026,0.0438505,26,1
0.027,0.5,0,0.500728,0.027,0.0438534,27,1
0.028,0.5,0,0.500783,0.028,0.0438563,28,1
0.029,0.5,0,0.50084,0.029,0.0438592,29,1
0.03,0.5,0,0.500899,0.03,0.043862,30,1
0.031,0.5,0,0.50096,0.031,0.0438649,31,1
0.032,0.5,0,0.501023,0.032,0.0438681,32,1
0.033,0.5,0,0.501088,0.033,0.0438715,33,1
0.034,0.5,0,0.501155,0.034,0.0438749,34,1
0.035,0.5,0,0.501224,0.035,0.0438782,35,1
0.036,0.5,0,0.501294,0.036,0.0438816,36,1
0.037,0.5,0,0.501367,0.037,0.0438849,37,1
0.038,0.5,0,0.501442,0.038,0.0438883,38,1
